Comparison Number,Outcome Number,Subgroup Number,Name,Data Type,Events 1,Mean 1,SD 1,Total 1,Events 2,Mean 2,SD 2,Total 2,Group Label 1,Group Label 2,Year of study
1,0,0,ENFO vs NAC,,,,,,,,,,,,
1,1,0,BRD,DIC,1382,,,2070,757,,,1067,Enrofloxacin,No active control,
1,1,0,Hamm- et al.- 2002 (Study A), ,14,0,0,24,12,0,0,12, , ,2002
1,1,0,Hamm- et al.- 2002 (Study B- CA), ,65,0,0,100,29,0,0,50, , ,2002
1,1,0,Hamm- et al.- 2002 (Study B- CO), ,68,0,0,100,32,0,0,50, , ,2002
1,1,0,Hamm- et al.- 2002 (Study B- ID), ,64,0,0,98,33,0,0,49, , ,2002
1,1,0,Hamm- et al.- 2002 (Study B- NE), ,69,0,0,100,33,0,0,50, , ,2002
1,1,0,Hamm- et al.- 2002 (Study C- CA), ,67,0,0,100,37,0,0,52, , ,2002
1,1,0,Hamm- et al.- 2002 (Study C- CO), ,68,0,0,102,34,0,0,51, , ,2002
1,1,0,Hamm- et al.- 2002 (Study C- NE), ,66,0,0,102,36,0,0,50, , ,2002
1,1,0,Hamm- et al.- 2002 (Study C- TX), ,66,0,0,101,42,0,0,51, , ,2002
1,1,0,Highland et al  (Cal), ,64,0,0,100,38,0,0,50, , ,1999
1,1,0,Highland et al  (Colorado), ,66,0,0,100,39,0,0,50, , ,1999
1,1,0,Highland et al  (Idaho), ,70,0,0,98,37,0,0,49, , ,1999
1,1,0,Highland et al  (Nebraska), ,68,0,0,100,38,0,0,50, , ,1999
1,1,0,DA 141-068 Bayer Corp- 1998- Davidson- TerHune- Apley- Rogers (CA), ,67,0,0,98,37,0,0,50, , ,1998
1,1,0,DA 141-068 Bayer Corp- 1998- Davidson- TerHune- Apley- Rogers (CO), ,66,0,0,95,25,0,0,50, , ,1998
1,1,0,DA 141-068 Bayer Corp- 1998- Davidson- TerHune- Apley- Rogers (ID), ,72,0,0,100,33,0,0,50, , ,1998
1,1,0,DA 141-068 Bayer Corp- 1998- Davidson- TerHune- Apley- Rogers (NE), ,65,0,0,98,37,0,0,49, , ,1998
1,1,0,DA 141-068 Bayer Corp- 1998- Davidson- TerHune- Apley- Rogers- Letchenberg- Sunderman- Bechtol- Waite (CA), ,69,0,0,100,37,0,0,52, , ,2002
1,1,0,DA 141-068 Bayer Corp- 1998- Davidson- TerHune- Apley- Rogers- Letchenberg- Sunderman- Bechtol- Waite (CO), ,69,0,0,101,39,0,0,51, , ,1998
1,1,0,DA 141-068 Bayer Corp- 1998- Davidson- TerHune- Apley- Rogers- Letchenberg- Sunderman- Bechtol- Waite (NE), ,60,0,0,102,33,0,0,50, , ,1998
1,1,0,DA 141-068 Bayer Corp- 1998- Davidson- TerHune- Apley- Rogers- Letchenberg- Sunderman- Bechtol- Waite (TX), ,67,0,0,101,42,0,0,51, , ,1998
1,1,0,New Study, ,32,0,0,50,34,0,0,50, , ,2021
